"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean mcg/m3","10th percentile mcg/m3","90th percentile mcg/m3"
"Summer 2010","Borough","3","1","Manhattan","13.4","12.2","15.3"
"Summer 2010","Borough","4","1","Queens","11.5","10.8","12.4"
"Summer 2010","Borough","5","1","Staten Island","11.4","11.0","12.0"
"Summer 2009","Citywide","1","0","New York City","10.7","9.7","11.9"
"Summer 2009","Borough","1","1","Bronx","10.7","9.9","11.7"
"Summer 2009","Borough","2","1","Brooklyn","10.9","10.1","12.0"
"Summer 2009","Borough","3","1","Manhattan","12.6","11.0","14.9"
"Summer 2009","Borough","4","1","Queens","10.3","9.5","11.2"
"Summer 2009","Borough","5","1","Staten Island","10.5","10.1","11.0"
"Annual Average 2023","Citywide","1","0","New York City","6.7","6.2","7.3"
"Annual Average 2023","Borough","1","1","Bronx","6.9","6.7","7.2"
"Annual Average 2023","Borough","2","1","Brooklyn","6.7","6.3","7.3"
"Annual Average 2023","Borough","3","1","Manhattan","7.3","6.8","8.3"
"Annual Average 2023","Borough","4","1","Queens","6.6","6.3","7.2"
"Annual Average 2023","Borough","5","1","Staten Island","6.2","6.1","6.5"
"Annual Average 2022","Citywide","1","0","New York City","5.8","5.1","6.5"
"Annual Average 2022","Borough","1","1","Bronx","6.1","5.8","6.4"
"Annual Average 2022","Borough","2","1","Brooklyn","5.8","5.3","6.5"
"Annual Average 2022","Borough","3","1","Manhattan","7.0","6.1","8.8"
"Annual Average 2022","Borough","4","1","Queens","5.7","5.2","6.4"
"Annual Average 2022","Borough","5","1","Staten Island","5.2","4.9","5.5"
"Annual Average 2021","Citywide","1","0","New York City","6.5","6.1","7.2"
"Annual Average 2021","Borough","1","1","Bronx","6.6","6.4","7.0"
"Annual Average 2021","Borough","2","1","Brooklyn","6.6","6.2","7.3"
"Annual Average 2021","Borough","3","1","Manhattan","7.4","6.7","8.7"
"Annual Average 2021","Borough","4","1","Queens","6.5","6.0","7.0"
"Annual Average 2021","Borough","5","1","Staten Island","6.2","6.0","6.4"
"Annual Average 2020","Citywide","1","0","New York City","6.1","5.4","6.8"
"Annual Average 2020","Borough","1","1","Bronx","6.1","5.8","6.5"
"Annual Average 2020","Borough","2","1","Brooklyn","6.1","5.6","6.9"
"Annual Average 2020","Borough","3","1","Manhattan","7.2","6.2","9.0"
"Annual Average 2020","Borough","4","1","Queens","6.1","5.6","6.7"
"Annual Average 2020","Borough","5","1","Staten Island","5.5","5.1","5.9"
"Annual Average 2019","Citywide","1","0","New York City","6.6","5.7","7.8"
"Annual Average 2019","Borough","1","1","Bronx","6.9","6.4","7.6"
"Annual Average 2019","Borough","2","1","Brooklyn","6.7","5.9","7.8"
"Annual Average 2019","Borough","3","1","Manhattan","8.3","6.8","10.6"
"Annual Average 2019","Borough","4","1","Queens","6.5","5.8","7.4"
"Annual Average 2019","Borough","5","1","Staten Island","5.9","5.5","6.4"
"Annual Average 2018","Citywide","1","0","New York City","7.0","6.1","8.1"
"Annual Average 2018","Borough","1","1","Bronx","7.2","6.6","7.8"
"Annual Average 2018","Borough","2","1","Brooklyn","7.2","6.4","8.3"
"Annual Average 2018","Borough","3","1","Manhattan","8.5","7.2","10.3"
"Annual Average 2018","Borough","4","1","Queens","6.8","6.2","7.6"
"Annual Average 2018","Borough","5","1","Staten Island","6.4","6.0","6.9"
"Annual Average 2017","Citywide","1","0","New York City","7.4","6.5","8.6"
"Annual Average 2017","Borough","1","1","Bronx","7.7","7.0","8.6"
"Annual Average 2017","Borough","2","1","Brooklyn","7.5","6.7","8.7"
"Annual Average 2017","Borough","3","1","Manhattan","8.7","7.7","10.3"
"Annual Average 2017","Borough","4","1","Queens","7.2","6.5","8.0"
"Annual Average 2017","Borough","5","1","Staten Island","6.8","6.4","7.4"
"Annual Average 2016","Citywide","1","0","New York City","7.4","6.4","8.9"
"Annual Average 2016","Borough","1","1","Bronx","7.8","7.1","8.6"
"Annual Average 2016","Borough","2","1","Brooklyn","7.8","6.7","9.2"
"Annual Average 2016","Borough","3","1","Manhattan","9.0","7.7","10.7"
"Annual Average 2016","Borough","4","1","Queens","7.2","6.3","8.1"
"Annual Average 2016","Borough","5","1","Staten Island","6.8","6.3","7.5"
"Annual Average 2015","Citywide","1","0","New York City","8.6","7.3","10.0"
"Annual Average 2015","Borough","1","1","Bronx","9.2","8.6","10.1"
"Annual Average 2015","Borough","2","1","Brooklyn","8.7","7.7","10.2"
"Annual Average 2015","Borough","3","1","Manhattan","10.2","9.2","11.7"
"Annual Average 2015","Borough","4","1","Queens","8.3","7.6","9.2"
"Annual Average 2015","Borough","5","1","Staten Island","7.7","7.0","8.5"
"Annual Average 2014","Citywide","1","0","New York City","8.9","8.0","10.3"
"Annual Average 2014","Borough","1","1","Bronx","9.3","8.5","10.2"
"Annual Average 2014","Borough","2","1","Brooklyn","9.1","8.2","10.3"
"Annual Average 2014","Borough","3","1","Manhattan","10.8","9.4","13.1"
"Annual Average 2014","Borough","4","1","Queens","8.6","7.8","9.5"
"Annual Average 2014","Borough","5","1","Staten Island","8.4","8.0","9.0"
"Annual Average 2013","Citywide","1","0","New York City","8.6","7.7","10.0"
"Annual Average 2013","Borough","1","1","Bronx","9.1","8.3","10.1"
"Annual Average 2013","Borough","2","1","Brooklyn","8.7","7.9","9.8"
"Annual Average 2013","Borough","3","1","Manhattan","10.7","9.2","13.0"
"Annual Average 2013","Borough","4","1","Queens","8.4","7.7","9.2"
"Annual Average 2013","Borough","5","1","Staten Island","8.0","7.6","8.6"
"Annual Average 2012","Citywide","1","0","New York City","8.9","8.0","10.3"
"Annual Average 2012","Borough","1","1","Bronx","9.5","8.7","10.5"
"Annual Average 2012","Borough","2","1","Brooklyn","9.0","8.1","10.2"
"Annual Average 2012","Borough","3","1","Manhattan","10.9","9.6","13.1"
"Annual Average 2012","Borough","4","1","Queens","8.6","7.7","9.5"
"Annual Average 2012","Borough","5","1","Staten Island","8.3","7.9","8.9"
"Annual Average 2011","Citywide","1","0","New York City","10.1","9.1","11.5"
"Annual Average 2011","Borough","1","1","Bronx","10.8","10.1","11.7"
"Annual Average 2011","Borough","2","1","Brooklyn","10.2","9.2","11.4"
"Annual Average 2011","Borough","3","1","Manhattan","11.9","10.8","13.8"
"Annual Average 2011","Borough","4","1","Queens","9.8","8.9","10.7"
"Annual Average 2011","Borough","5","1","Staten Island","9.4","9.0","10.0"
"Annual Average 2010","Citywide","1","0","New York City","9.5","8.4","10.9"
"Annual Average 2010","Borough","1","1","Bronx","10.1","9.2","11.2"
"Annual Average 2010","Borough","2","1","Brooklyn","9.7","8.8","10.7"
"Annual Average 2010","Borough","3","1","Manhattan","11.6","10.2","14.0"
"Annual Average 2010","Borough","4","1","Queens","9.2","8.4","10.1"
"Annual Average 2010","Borough","5","1","Staten Island","8.8","8.3","9.4"
"Annual Average 2009","Citywide","1","0","New York City","10.4","9.3","11.9"
"Annual Average 2009","Borough","1","1","Bronx","11.0","10.2","12.0"
"Annual Average 2009","Borough","2","1","Brooklyn","10.5","9.5","11.8"
"Annual Average 2009","Borough","3","1","Manhattan","12.6","11.2","14.9"
"Annual Average 2009","Borough","4","1","Queens","10.0","9.1","11.0"
"Annual Average 2009","Borough","5","1","Staten Island","9.8","9.3","10.5"
